set,missed_task,miss_time
1,0,
2,8,826
3,0,
4,4,784
5,1,931
6,1,914
7,6,673
8,0,
9,3,754
10,4,788
11,8,833
12,4,802
13,1,814
14,6,907
15,1,809
16,0,
17,3,771
18,4,851
19,1,686
20,8,774
21,1,801
22,4,802
23,3,815
24,6,931
25,2,631
26,3,745
27,2,582
28,7,872
29,4,901
30,7,637
31,3,749
32,0,
33,0,
34,0,
35,0,
36,2,787
37,0,
38,0,
39,2,889
40,8,684
41,3,760
42,5,793
43,6,822
44,6,472
45,3,821
46,8,847
47,5,638
48,3,643
49,8,835
50,3,863
51,3,847
52,8,871
53,3,672
54,2,782
55,8,542
56,5,638
57,0,
58,6,858
59,6,809
60,6,745
61,6,710
62,3,447
63,3,710
64,3,765
65,1,810
66,0,
67,8,771
68,0,
69,4,838
70,5,948
71,4,716
72,5,753
73,6,753
74,0,
75,8,422
76,3,822
77,0,
78,1,792
79,6,919
80,2,565
81,0,
82,2,876
83,0,
84,4,697
85,8,346
86,7,931
87,4,805
88,7,819
89,5,622
90,6,661
91,5,817
92,7,702
93,7,745
94,0,
95,4,740
96,2,855
97,0,
98,6,697
99,6,786
100,3,844
