set,missed_task,miss_time
1,4,124
2,4,172
3,4,30616
4,3,152
5,8,319
6,6,118
7,2,404
8,4,254
9,8,192
10,5,134
11,5,188
12,6,177
13,1,368
14,5,171
15,0,
16,8,400
17,8,252
18,3,34776
19,5,195
20,8,161
21,3,8228
22,7,242
23,5,113
24,3,111
25,3,326
26,7,127
27,4,284
28,2,128
29,7,203
30,8,117
31,0,
32,4,39005
33,0,
34,4,212
35,7,226
36,3,266
37,8,123
38,4,206
39,3,248
40,0,
41,2,15480
42,0,
43,0,
44,6,170
45,7,168
46,1,216
47,7,205
48,5,153
49,8,121
50,3,120
51,7,159
52,8,298
53,3,442
54,3,3230
55,7,207
56,8,101
57,5,101
58,6,266
59,4,103
60,6,174
61,0,
62,6,181
63,8,155
64,4,220
65,8,170
66,1,238
67,4,58305
68,7,156
69,3,220
70,8,214
71,0,
72,4,105
73,4,150
74,4,157
75,6,291
76,7,123
77,0,
78,3,13160
79,8,298
80,6,192
81,8,175
82,5,9800
83,0,
84,0,
85,4,392
86,6,257
87,4,103
88,7,215
89,5,128
90,6,222
91,4,126
92,8,245
93,0,
94,7,265
95,8,123
96,2,204
97,6,116
98,8,335
99,1,54000
100,0,
