set,missed_task,miss_time
1,1,3487
2,0,
3,3,501
4,5,1544
5,0,
6,3,578
7,8,484
8,6,4568
9,2,1738
10,1,422
11,0,
12,0,
13,0,
14,4,839
15,0,
16,6,314
17,8,395
18,5,1277
19,0,
20,7,1656
21,0,
22,7,638
23,2,610
24,0,
25,6,493
26,5,2925
27,5,370
28,4,1320
29,7,811
30,0,
31,5,892
32,8,11854
33,2,226
34,0,
35,8,363
36,4,66342
37,3,319
38,1,1111
39,4,4844
40,6,248
41,7,383
42,6,393
43,4,15587
44,7,226
45,4,340
46,0,
47,6,412
48,0,
49,1,1292
50,0,
51,8,430
52,1,12681
53,7,387
54,3,258
55,7,4854
56,2,243
57,6,473
58,7,6931
59,2,3989
60,1,3894
61,0,
62,7,234
63,1,477
64,4,2403
65,0,
66,4,3143
67,0,
68,3,641
69,1,453
70,2,270
71,2,1206
72,7,331
73,1,405
74,1,329
75,0,
76,0,
77,5,1094
78,0,
79,0,
80,4,231
81,6,7660
82,4,1240
83,2,295
84,1,539
85,0,
86,6,2152
87,3,572
88,3,561
89,0,
90,8,683
91,7,43415
92,3,401
93,4,3284
94,2,1200
95,0,
96,8,842
97,0,
98,3,2746
99,4,609
100,0,
