set,missed_task,miss_time
1,1,217
2,0,
3,3,323
4,8,173
5,7,435
6,3,380
7,8,84
8,6,144
9,7,235
10,8,247
11,6,273
12,7,532
13,6,258
14,4,101
15,7,162
16,6,154
17,8,117
18,5,143
19,8,403
20,7,102
21,8,172
22,7,93
23,2,151
24,8,389
25,6,85
26,5,167
27,7,127
28,4,137
29,7,115
30,5,354
31,5,142
32,8,104
33,6,181
34,4,155
35,8,107
36,4,218
37,3,159
38,4,179
39,4,254
40,7,80
41,7,83
42,6,189
43,8,321
44,7,105
45,4,106
46,7,456
47,6,122
48,5,138
49,5,103
50,4,192
51,8,124
52,1,261
53,7,115
54,3,120
55,7,148
56,2,243
57,6,312
58,7,111
59,2,421
60,5,191
61,7,377
62,7,117
63,1,477
64,4,103
65,8,245
66,3,159
67,2,473
68,7,189
69,6,166
70,2,270
71,5,264
72,7,148
73,5,136
74,1,216
75,5,146
76,7,291
77,4,100
78,4,146
79,7,352
80,4,103
81,5,556
82,7,211
83,6,113
84,1,257
85,5,154
86,6,161
87,3,122
88,3,126
89,8,164
90,8,167
91,7,267
92,8,292
93,4,212
94,7,90
95,6,249
96,8,116
97,0,
98,3,121
99,7,210
100,7,522
