set,missed_task,miss_time
1,4,101
2,2,2224
3,2,111
4,3,1340
5,0,
6,2,23265
7,3,39294
8,0,
9,0,
10,0,
11,0,
12,4,39812
13,1,212
14,2,5192
15,1,48024
16,5,126
17,1,516
18,4,320
19,0,
20,2,270
21,5,260
22,0,
23,0,
24,0,
25,4,381
26,4,192
27,5,239
28,4,153
29,0,
30,5,204
31,2,414
32,3,11550
33,4,195
34,4,244
35,4,176
36,5,250
37,1,1200
38,1,298
39,5,118
40,4,3178
41,5,520
42,2,2496
43,0,
44,0,
45,3,161
46,0,
47,0,
48,0,
49,2,29472
50,5,226
51,4,184
52,1,368
53,3,8127
54,2,232
55,0,
56,0,
57,5,123
58,0,
59,3,122
60,4,124
61,0,
62,2,104
63,5,270
64,0,
65,4,123
66,4,265
67,5,246
68,4,238
69,5,189
70,2,2220
71,4,1196
72,0,
73,5,171
74,5,361
75,5,274
76,5,173
77,0,
78,4,134
79,4,115
80,0,
81,5,282
82,0,
83,0,
84,5,240
85,2,148
86,3,107
87,4,3332
88,4,123
89,0,
90,0,
91,1,16384
92,5,184
93,5,197
94,2,274
95,0,
96,0,
97,5,506
98,0,
99,2,7112
100,3,352
